                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.50797,                0.40604,                0.92691,                0.68686,                0.67056,                0.69526,                0.50943,                0.98811,                 1.1289,                 1.3089,             0.00027906,             0.00027906,             0.00027906
                     73,                0.50582,                 0.3891,                0.92691,                0.66751,                0.70375,                0.70083,                0.52394,                0.96688,                 1.1457,                 1.2852,             0.00027006,             0.00027006,             0.00027006
                     74,                 0.5184,                0.40552,                0.93332,                0.65404,                0.66958,                0.68368,                0.51031,                0.97826,                 1.1597,                 1.2762,             0.00026106,             0.00026106,             0.00026106
                     75,                0.49123,                0.38164,                0.91487,                 0.6832,                0.68876,                0.70126,                0.52753,                0.96276,                  1.113,                 1.2847,             0.00025207,             0.00025207,             0.00025207
                     76,                0.48977,                0.38457,                0.91844,                0.71236,                0.66236,                0.69709,                0.51937,                 1.0007,                 1.1652,                 1.3254,             0.00024307,             0.00024307,             0.00024307
                     77,                0.49176,                 0.3829,                0.91981,                0.69155,                0.69809,                0.69458,                0.51508,                0.98401,                 1.1373,                  1.301,             0.00023407,             0.00023407,             0.00023407
                     78,                0.49045,                0.38042,                0.91995,                0.67713,                0.68873,                0.70282,                0.52116,                0.97974,                 1.1531,                 1.3104,             0.00022507,             0.00022507,             0.00022507
                     79,                0.48538,                0.38091,                0.91944,                0.68049,                0.68271,                0.70576,                0.53348,                0.95344,                 1.1441,                 1.2792,             0.00021607,             0.00021607,             0.00021607
                     80,                0.47324,                0.36338,                0.91197,                0.66613,                0.68264,                0.69178,                0.52038,                0.98185,                 1.1726,                 1.3114,             0.00020707,             0.00020707,             0.00020707
                     81,                0.47898,                0.37149,                0.91236,                0.68463,                0.65668,                0.68867,                0.52193,                0.96179,                 1.1679,                 1.2981,             0.00019807,             0.00019807,             0.00019807
                     82,                0.46618,                0.36116,                0.91046,                0.71504,                0.65235,                0.69668,                0.52762,                0.96778,                 1.1586,                 1.3064,             0.00018907,             0.00018907,             0.00018907
                     83,                 0.4654,                0.34254,                0.90728,                0.67882,                0.66144,                0.69509,                0.51958,                0.98177,                   1.19,                 1.3191,             0.00018007,             0.00018007,             0.00018007
                     84,                0.47685,                0.36443,                 0.9143,                0.69469,                0.66461,                0.69093,                0.52423,                 0.9672,                 1.1564,                 1.2938,             0.00017107,             0.00017107,             0.00017107
                     85,                0.46388,                0.34817,                0.90144,                0.67039,                0.66622,                0.69101,                0.52208,                0.96984,                 1.1609,                 1.2991,             0.00016207,             0.00016207,             0.00016207
                     86,                0.44741,                0.33326,                0.90124,                0.70472,                0.64308,                0.69011,                0.52414,                0.95551,                 1.1882,                 1.3067,             0.00015308,             0.00015308,             0.00015308
                     87,                0.46016,                0.34309,                0.90201,                0.70175,                0.65783,                0.69776,                0.52828,                0.95715,                 1.1732,                 1.3111,             0.00014408,             0.00014408,             0.00014408
                     88,                0.44249,                0.32535,                0.89513,                0.66088,                0.67238,                0.68696,                0.51526,                0.97104,                  1.229,                 1.3128,             0.00013508,             0.00013508,             0.00013508
