                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.58076,                0.44299,                0.92601,                0.70388,                0.66216,                0.70685,                0.53445,                0.94975,                 1.1002,                  1.162,             0.00036005,             0.00036005,             0.00036005
                     64,                0.57632,                0.45062,                0.92548,                0.68393,                0.65221,                0.70894,                0.53841,                0.93815,                 1.1016,                 1.1562,             0.00035106,             0.00035106,             0.00035106
                     65,                0.56459,                0.43322,                0.92302,                0.66307,                0.68698,                0.70164,                 0.5356,                0.94433,                 1.0951,                 1.1462,             0.00034206,             0.00034206,             0.00034206
                     66,                0.55747,                0.42581,                0.91934,                 0.6837,                0.65988,                0.71193,                0.54071,                0.95376,                 1.1361,                  1.172,             0.00033306,             0.00033306,             0.00033306
                     67,                0.55757,                0.42145,                0.92247,                0.67822,                0.67149,                0.69651,                0.53095,                0.95573,                 1.1187,                 1.1832,             0.00032406,             0.00032406,             0.00032406
                     68,                0.55215,                0.41482,                0.92163,                0.64014,                0.71029,                0.69379,                0.53484,                0.93711,                 1.1495,                 1.1508,             0.00031506,             0.00031506,             0.00031506
                     69,                0.54231,                0.41692,                0.91825,                0.70706,                0.66703,                0.70766,                0.54468,                0.92407,                 1.0855,                 1.1565,             0.00030606,             0.00030606,             0.00030606
                     70,                 0.5376,                0.40654,                0.91353,                0.68414,                0.67103,                0.70311,                0.53802,                0.93434,                 1.1306,                 1.1692,             0.00029706,             0.00029706,             0.00029706
                     71,                0.53891,                0.40926,                0.91315,                0.70091,                0.66892,                0.71838,                0.55019,                0.94511,                 1.1237,                 1.1699,             0.00028806,             0.00028806,             0.00028806
                     72,                  0.544,                0.40352,                0.91575,                0.65314,                0.70117,                0.70213,                0.53609,                0.94621,                 1.1664,                 1.1617,             0.00027906,             0.00027906,             0.00027906
                     73,                0.53624,                0.40596,                 0.9101,                0.65742,                0.70086,                0.69607,                0.53177,                0.94794,                  1.133,                 1.1777,             0.00027006,             0.00027006,             0.00027006
                     74,                0.53052,                0.38468,                0.90695,                0.68355,                 0.6844,                 0.6998,                0.53392,                0.95745,                 1.1452,                 1.2075,             0.00026106,             0.00026106,             0.00026106
                     75,                0.52181,                0.38247,                0.91051,                0.65998,                0.71654,                0.71483,                0.54463,                0.93646,                 1.0966,                 1.1732,             0.00025207,             0.00025207,             0.00025207
                     76,                0.51597,                0.37716,                0.89957,                 0.6544,                  0.678,                  0.691,                0.52591,                0.96264,                 1.1526,                 1.1977,             0.00024307,             0.00024307,             0.00024307
                     77,                0.51312,                0.36768,                 0.9008,                0.70419,                0.64989,                0.70465,                0.54102,                0.94025,                 1.1099,                 1.1808,             0.00023407,             0.00023407,             0.00023407
                     78,                0.50893,                0.36699,                0.89812,                0.68778,                0.66277,                0.70536,                0.54118,                 0.9451,                 1.1209,                 1.1874,             0.00022507,             0.00022507,             0.00022507
                     79,                0.50224,                0.36481,                0.90302,                0.67913,                0.68758,                0.69892,                0.53097,                0.94924,                 1.1532,                 1.1969,             0.00021607,             0.00021607,             0.00021607
                     80,                  0.505,                0.36134,                0.89989,                 0.6599,                0.70153,                0.70468,                0.54242,                0.93201,                 1.1547,                 1.1817,             0.00020707,             0.00020707,             0.00020707
                     81,                0.48698,                0.35466,                0.89375,                0.66481,                0.66594,                0.69171,                0.53176,                0.94824,                 1.1981,                 1.2005,             0.00019807,             0.00019807,             0.00019807
                     82,                0.49054,                0.35854,                0.89325,                0.68395,                0.68398,                 0.6992,                 0.5357,                0.94476,                 1.1528,                 1.1998,             0.00018907,             0.00018907,             0.00018907
                     83,                0.48951,                0.34791,                0.88892,                0.67441,                0.68415,                0.70081,                0.53554,                0.95383,                 1.1759,                 1.2058,             0.00018007,             0.00018007,             0.00018007
                     84,                0.49633,                0.34785,                0.88852,                0.69398,                  0.671,                0.70704,                0.53908,                0.94791,                 1.1735,                 1.2076,             0.00017107,             0.00017107,             0.00017107
                     85,                0.47604,                  0.337,                0.88754,                0.67173,                0.68008,                 0.7034,                0.53727,                0.94485,                 1.1609,                 1.1941,             0.00016207,             0.00016207,             0.00016207
                     86,                0.47673,                0.33666,                0.88485,                0.71228,                0.66671,                0.71037,                0.54087,                0.96725,                 1.1448,                 1.2184,             0.00015308,             0.00015308,             0.00015308
                     87,                0.46718,                0.33004,                  0.883,                0.70038,                0.67032,                0.70304,                0.53758,                0.95356,                 1.1511,                 1.2156,             0.00014408,             0.00014408,             0.00014408
                     88,                0.47041,                0.33007,                0.88491,                0.70356,                0.67055,                0.70515,                0.53942,                0.95084,                 1.1632,                 1.2075,             0.00013508,             0.00013508,             0.00013508
                     89,                0.47356,                0.32939,                0.88506,                0.68228,                0.69997,                0.71017,                0.54671,                0.93752,                 1.1421,                 1.2088,             0.00012608,             0.00012608,             0.00012608
                     90,                0.46639,                 0.3229,                0.88597,                0.69376,                0.68187,                0.70212,                0.54445,                0.93304,                 1.1655,                 1.1963,             0.00011708,             0.00011708,             0.00011708
                     91,                0.40484,                0.26185,                0.83982,                 0.6998,                0.67731,                0.69593,                0.53702,                0.92451,                 1.1547,                 1.2111,             0.00010808,             0.00010808,             0.00010808
                     92,                0.38444,                0.25142,                0.83652,                0.66478,                0.69095,                0.69195,                0.53314,                0.92014,                  1.131,                 1.2004,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.37627,                0.24383,                0.82999,                0.69496,                 0.6937,                 0.7104,                0.55098,                  0.913,                 1.1117,                 1.1961,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.37332,                0.23866,                 0.8265,                 0.7096,                0.66855,                0.70854,                0.54948,                0.91526,                 1.1368,                 1.1934,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.36882,                0.23298,                0.83037,                0.69754,                0.68776,                0.71943,                0.56253,                0.92389,                 1.1206,                 1.2085,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.36888,                0.23037,                0.82886,                0.70642,                0.68225,                0.71369,                0.55895,                0.90864,                 1.1091,                 1.1958,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                  0.366,                0.22643,                0.82723,                0.70711,                0.68614,                0.71378,                   0.56,                0.90261,                 1.1311,                 1.1914,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.36142,                0.22563,                 0.8206,                0.70066,                0.67371,                0.70921,                0.55594,                0.91108,                 1.1385,                 1.1956,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.35783,                0.22383,                0.82282,                0.69369,                0.68011,                0.70823,                0.55608,                0.91222,                 1.1442,                 1.1975,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.35385,                0.21921,                0.82085,                0.69005,                0.68854,                0.71137,                 0.5601,                0.91091,                 1.1326,                 1.1988,             2.7088e-05,             2.7088e-05,             2.7088e-05
